"campaign_type","avg_budget_utilization","campaign_count","pct_over_budget"
"Real Estate","2016.89","20","100.00"
"Agency","1952.40","1","100.00"
"Educational institution","1293.38","9","77.78"
"Fast food industry","980.40","6","100.00"
"Fashion Brand","336.67","11","81.82"
"Travel Agency","323.10","2","50.00"
"leather industry","293.00","1","100.00"
"Automobile","247.45","4","75.00"
"Message","114.15","25","16.00"
"Engagement","100.30","50","8.00"
"Reach","100.17","50","8.00"
"Ranch Bistro","100.00","1","0.00"
"Msg","100.00","5","0.00"
"Leather Bros","88.48","1","0.00"
"More Visitor","80.93","24","0.00"
"Educator Study","17.78","1","0.00"
