"campaign_type","campaign_count","total_spend","avg_spend"
"Real Estate","20","2460.47","123.02"
"Educational institution","9","621.39","69.04"
"Engagement","50","561.19","11.22"
"Fast food industry","6","294.12","49.02"
"Reach","50","250.43","5.01"
"Fashion Brand","11","185.17","16.83"
"Message","25","142.69","5.71"
"Agency","1","97.62","97.62"
"More Visitor","24","97.11","4.05"
"Ranch Bistro","1","60.00","60.00"
"Automobile","4","49.49","12.37"
"Travel Agency","2","39.24","19.62"
"Msg","5","25.00","5.00"
"Leather Bros","1","20.35","20.35"
"Educator Study","1","17.78","17.78"
"leather industry","1","14.65","14.65"
