"duration_days	","campaign_type","avg_daily_spend","avg_daily_reach","avg_daily_impressions"
5,"Real Estate","1.56","727","994"
2,"Reach","2.38","59000","59760"
7,"Travel Agency","1.32","13518","14840"
3,"Engagement","3.33","6152","7440"
7,"Real Estate","10.28","3729","10572"
4,"Engagement","2.72","4656","6152"
2,"Msg","2.50","2035","2622"
7,"Educational institution","4.22","1467","2651"
4,"More Visitor","0.96","5460","6648"
4,"Message","1.46","811","1214"
4,"Real Estate","33.95","16840","42279"
4,"Ranch Bistro","15.00","8451","20012"
3,"Reach","1.67","39114","39328"
10,"Educator Study","1.78","1597","2598"
5,"Leather Bros","4.07","8234","12795"
2,"Engagement","7.28","42883","51067"
5,"Engagement","2.00","3099","3775"
2,"More Visitor","2.42","10011","11067"
4,"Fashion Brand","4.21","4913","6920"
2,"Message","2.38","1828","2464"
4,"leather industry","3.66","6336","8967"
4,"Automobile","4.80","2025","4681"
4,"Educational institution","18.50","8537","23246"
4,"Agency","24.41","6050","16978"
4,"Travel Agency","7.50","12202","16201"
7,"Automobile","0.79","426","771"
4,"Reach","1.26","29553","30756"
4,"Fast food industry","12.26","9369","18761"
4,"Msg","1.25","755","1156"
