"campaign_type","performance_quartile","campaign_count","avg_cost_per_result","avg_reach","avg_spend"
"Agency",1,"1","0.30","24202","97.62"
"Automobile",1,"1","0.59","2771","4.12"
"Automobile",2,"1","0.62","2383","6.19"
"Automobile",3,"1","0.88","3193","7.00"
"Automobile",4,"1","1.01","13819","32.18"
"Educational institution",1,"3","0.10","27043","46.70"
"Educational institution",2,"2","0.26","41048","73.10"
"Educational institution",3,"2","0.30","40807","135.05"
"Educational institution",4,"2","0.54","19311","32.50"
"Educator Study",1,"1","0.09","15974","17.78"
"Engagement",1,"13","0.00","54145","11.98"
"Engagement",2,"13","0.01","14770","10.14"
"Engagement",3,"12","0.01","11800","10.56"
"Engagement",4,"12","0.01","18854","12.25"
"Fashion Brand",1,"3","0.03","6851","8.81"
"Fashion Brand",2,"3","0.04","14586","10.64"
"Fashion Brand",3,"3","0.06","35272","21.26"
"Fashion Brand",4,"2","0.16","23024","31.52"
"Fast food industry",1,"2","0.04","49404","56.36"
"Fast food industry",2,"2","0.11","48080","71.64"
"Fast food industry",3,"1","0.37","7827","9.92"
"Fast food industry",4,"1","0.59","22065","28.20"
"Leather Bros",1,"1","0.05","41170","20.35"
"leather industry",1,"1","0.05","25346","14.65"
"Message",1,"7","0.21","3399","4.72"
"Message",2,"6","0.38","3236","4.11"
"Message",3,"6","0.52","3924","8.33"
"Message",4,"6","0.80","2601","5.83"
"More Visitor",1,"6","0.01","23907","3.40"
"More Visitor",2,"6","0.01","21546","4.30"
"More Visitor",3,"6","0.01","22064","4.25"
"More Visitor",4,"6","0.01","18332","4.24"
"Msg",1,"2","0.29","3387","5.00"
"Msg",2,"1","0.36","4070","5.00"
"Msg",3,"1","0.36","3242","5.00"
"Msg",4,"1","0.83","2073","5.00"
"Ranch Bistro",1,"1","0.63","33807","60.00"
"Reach",1,"13","0.00","121102","3.82"
"Reach",2,"13","0.00","121853","4.77"
"Reach",3,"12","0.00","108460","5.00"
"Reach",4,"12","0.00","120764","6.57"
"Real Estate",1,"5","0.04","98102","57.71"
"Real Estate",2,"5","0.75","11794","21.79"
"Real Estate",3,"5","1.41","32773","85.85"
"Real Estate",4,"5","5.11","97532","326.75"
"Travel Agency",1,"1","0.01","94628","9.24"
"Travel Agency",2,"1","0.47","48809","30.00"
